Great so far,"I was skeptical considering you never the condition it will be in when you receive it. Upon opening, the phone looks 98% brand new and if I didn’t know any better I would think it just came from the Apple store. The battery life capacity is at 95% which I was more than happy with. I will say the phone is quite large, but that’s because I just upgraded from the 2020 SE. So far I have no complaints and am very surprised by the quality. Five stars from me.",5.0 out of 5 stars
Great,"Worked just as expected, came nicely packed with a charger.",5.0 out of 5 stars
Great phone quality,Phone came just as expected,
Great phone. Face recognition doesn’t work.,"Bought this for my daughter. She worked all year having good grades. You get what you pay for.I got the IPHONE XR 256gb (red) Everything is fine. Charger only works with AN ORIGINAL APPLE CHARGER. Not the black basic one that you get. AND the phone I have, the face recognition doesn’t work. But for a 6th grader it’s an iPhone that’s all they worry about. Trying to get another phone. And I’ll be giving her my phone.Now I’ve bought my XR (blue) from them before. Had it for 2 years. And still works like a champ. I guess it’s luck honestly.",
Excellent,"Great phone, Amazon Renewed Premium worked like a charm for me...",5.0 out of 5 stars
As described,,5.0 out of 5 stars
True to the advertisement!,"Bought this for my husband valentine gift,he love it and so do I,love the look the style and model. Works very well, thinking of getting myself one.🥰",5.0 out of 5 stars
IPHONE XR,Like New! Speedy delivery. Good product 👍🏼,5.0 out of 5 stars
Great Phone Better Seller,I've had this phone from this seller for a year and a half and it has been working top notch. Dropped a couple times but I have a good case for it so no worries there.I'm looking forward to purchase another in the near future. Thanks for a quality product!,5.0 out of 5 stars
"It’s okay, a bit laggy",I got it for my boyfriend as a Christmas gift which he loves! I notice for him it’s a bit laggy and dies pretty fast unless he’s on an app that takes up too much battery but I’m not sure overall it has amazing camera quality and a great gift.,
Great so far,"I was skeptical considering you never the condition it will be in when you receive it. Upon opening, the phone looks 98% brand new and if I didn’t know any better I would think it just came from the Apple store. The battery life capacity is at 95% which I was more than happy with. I will say the phone is quite large, but that’s because I just upgraded from the 2020 SE. So far I have no complaints and am very surprised by the quality. Five stars from me.",5.0 out of 5 stars
Battery percentage came in 86% Now I have 81% after 2 month of use,Minor scratches overall is in good condition good phone and still using .,
Not unlocked,Very upset that the phone is locked. It can only work for at&t carrier. Sending back asap.,
Great,"The media could not be loaded.
                



 This product is great the condition was like new and it has become my everyday phone",5.0 out of 5 stars
"This is much cheaper than spending 1,000$ on the same thing in a store","To start, the 128 GB was 30$ cheaper than the 63 GB (which doesn't make any sense), they had all colors only took a few days to get to me, amazing condition, the battery was fully charged, the sim card tool sucked but nobody cares about that. I don't see a single scratch or any buffed marks. This is my second time buying a phone from amazon, the first wasn't bad, just a few scratches where the charger is, the one seems brand new I'm very satisfied.",5.0 out of 5 stars
Back of phone came all cracked can see the inside software,Back of phone came all cracked can see the inside software and was 3 days late to when said supposed to be delivered. Don't recommend.,
the health of the battery life,the battery life came at 86% and hence the life of the battery isn't good at all it runs down so fast,
pretty good,"packages was pretty good, but not how i would have preferred. there were more scratches than i expected",
Teléfono,"Fue un regalo para mi sobrina, ella está feliz, le funciona perfectamente,  tanto así que  voy a comprar otro para otra sobrina",5.0 out of 5 stars
No need for something newer.,Wife loved it! Affordable and still a very strong phone for the times.,5.0 out of 5 stars
Buy This!,"This was my first time ever buying an Apple product and I decided to by this, best decision ever. I’ve had the phone for 2 years now and not one issue with it. Definitely worth buying.",5.0 out of 5 stars
excelente opcion,"el telefono funciona correctamente no esta dañado, ni rayado, y sobre todo el costo es mucho menor que uno nuevo",5.0 out of 5 stars
Love it!!!,Perfect for the price. No issues at all. My girls love their phone. I LOVE the price.,5.0 out of 5 stars
