Reçu avec du retard,"Téléphone reçu avec du retard, quelques petits impacts très  visible (il devait être en excellent état), chargeur bas de gamme (déçu) ,satisfait dans l’ensemble…",Unnamed: 2
A voir,Téléphone en super état pour un reconditionné le seul problème est l’état de la batterie qui est de 85%…,
Garantie,Pas de garantie papier déçu pour ce motif,
iPhone xr,Bon téléphone reçu rapidement juste déçue des grosse rayure  sur le téléphone sinon le reste marche nickel,
Appareil photo défectueux dès la réception.,"J’invite toutes personnes se rendant compte d’un dysfonctionnement à retourner l’appareil dans les délais de garantie. Faute de quoi, les réparations seront intégralement à votre charge. Donc selon mon expérience ayant eu plusieurs dysfonctionnements tél que l’appareil photo, puis le micro. Je ne pense pas recommencer le reconditionnement à l’avenir.","5,0 sur 5 étoiles"
iPhone XR,Reçu en bon état. Il fonctionne parfaitement,
Satisfait attention à la batterie tous de même!?!,"Téléphone en super état même de qualité bon,écran nickel, téléphone fonctionnel depuis deux semaines aucun souci à signaler.concernant la livraison très rapide sous deux-trois jours.Seul bémol la batterie n’est pas changé reçu avec 86% de capacité,ce qui veux dire pour un iPhone que la batterie et bientôt en fin de vie,cependant le rapport qualité prix et le plus intéressant du marché.",
iPhone XR reconditionné en bon état.,"iPhone XR en état  plus que correct, RAS.Bien livré et dans le temps.","5,0 sur 5 étoiles"
Top des tops,"RASLivraison rapideLe téléphone est en excellent état.Il faut faire attention avant d'acheter. Les prix sont différents et ça dépend de la condition, j'ai payé un peu plus cher pour un en excellent état.","5,0 sur 5 étoiles"
PARFAIT  POUR  LE  PRIX,SITE  TRES  BIEN  JE  RECOMMANDE,"5,0 sur 5 étoiles"
Reçu avec du retard,"Téléphone reçu avec du retard, quelques petits impacts très  visible (il devait être en excellent état), chargeur bas de gamme (déçu) ,satisfait dans l’ensemble…",
Super téléphone,Acheter pour ma fille de 15 ansEn excellent état batterie a 100%,"5,0 sur 5 étoiles"
Iphone XR comme neuf haut-parleur grésille.,Le téléphone reçu rapidement.Indiquer comme neuf. Le téléphone a l'air comme neuf pas de rayure pas de souci apparemment pour la batterie elle tient la charge avoir dans le temps trop tôt pour ce prononcer. ⚠️ j'ai trouvé un problème le son en mode haut-parleur et vraiment mauvaise grésillement et son pas terrible du tout. Sinon pour le reste en mode communication pas de souci.❗Comme neuf pas dans tout bien vérifié tout avant c'est quand même un petit billet.A bonne entendeur.,
Très bon achat,Ce téléphone est parfait. Il est exactement ce à quoi je m’attendais et correspond à la description.,"5,0 sur 5 étoiles"
Batterie,"Dommage que la batterie ne tienne pas plus longtemps, chargement tous les jours pour un usage normal",
Très content,Téléphone reconditionné vraiment comme un neuf 👍🏻,"5,0 sur 5 étoiles"
Produit d'occasion parfaitement conforme à sa description (très bon état),"Produit d'occasion parfaitement conforme à sa description (très bon état), livré rapidement","5,0 sur 5 étoiles"
correct,"tres bien , prestation impeccable produit conforme a sa description .","5,0 sur 5 étoiles"
Excellent téléphone,Cadeau d’anniversaire pour mon fils il est super content,"5,0 sur 5 étoiles"
